time_ns,ax,ay,az,wx,wy,wz
1765227757112526203,-7.764,-3.691,-4.826,-0.000723,-0.001253,-0.000487
1765227757137927329,-7.724,-3.712,-4.839,-0.001095,-0.002927,-0.003867
1765227757162986038,-7.732,-3.74,-4.814,0.00034,-0.000111,-0.003397
1765227757187462746,-7.706,-3.747,-4.819,-0.000217,0.001237,0.002667
1765227757213038747,-7.719,-3.725,-4.794,0.00159,2e-06,0.003115
1765227757237491330,-7.729,-3.733,-4.835,-0.000363,-0.001572,0.000194
1765227757262555497,-7.712,-3.73,-4.834,-0.000818,-0.001338,-0.002584
1765227757287582164,-7.755,-3.742,-4.832,0.000747,-0.00023,0.001664
1765227757312986165,-7.71,-3.702,-4.823,0.003007,0.000604,0.00153
1765227757338316624,-7.723,-3.721,-4.814,0.001696,-0.00108,0.00273
1765227757362783832,-7.752,-3.748,-4.807,0.000813,-0.001266,-0.000155
1765227757387472873,-7.71,-3.733,-4.84,0.001282,-0.000779,0.000928
1765227757414017084,-7.724,-3.69,-4.814,0.003841,3.9e-05,0.002024
1765227757437410665,-7.738,-3.712,-4.833,0.001256,2e-05,0.000676
1765227757464000210,-7.738,-3.706,-4.817,-0.000846,-0.001067,-0.000187
1765227757488334584,-7.729,-3.731,-4.79,0.000874,-0.001152,-0.000867
